study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P242,"Coghlan, S. (2022). Robots and the possibility of humanistic care. International journal of social robotics, 14(10), 2095-2108.","@article{coghlan2022robots,
  title={Robots and the possibility of humanistic care},
  author={Coghlan, Simon},
  journal={International journal of social robotics},
  volume={14},
  number={10},
  pages={2095--2108},
  year={2022},
  publisher={Springer}
}",2022,0,"Centre for AI and Digital Ethics (CAIDE), School of Computing and Information Systems, Faculty of Engineering and Information Technology",CS,,,THEOR,humanistic care,other,N/A,general,OTHER,N/A,N/A,N/A,N/A,N/A,,general,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,0,N/A,theoretical paper,,N/A,N/A,,N/A,N/A,N/A,N/A,"mental and emotional rejection, deceipt",N.R.,1,,N/A,N/A,Y,
P243,"Ihamäki, P., & Heljakka, K. (2021). Robot dog intervention with the Golden pup: Activating social and empathy experiences of elderly people as part of intergenerational interaction.","@article{ihamaki2021robot,
  title={Robot dog intervention with the Golden pup: Activating social and empathy experiences of elderly people as part of intergenerational interaction},
  author={Iham{\""a}ki, Pirita and Heljakka, Katriina},
  year={2021}
}",2021,1,Prizztech Ltd; University of Turku,N.R.,,,QUAL,social and empathy experiences,robot evaluation,"emotional and behavior reaction (joy, surprise, empathy, softness, active, neutral)",older adult care,SOCIAL,CARE-CENTER,1,SINGLE,10,feasibility,,older adults,65-80,N.R.,"M3, F7",0,7,3,N.R.,Finnish or Swedish?,Finland,Northern Europe,,Golden Pup,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,pet-like behavior,A,"touch sensors, respond to sound",A,1,0,0,1,,0,0,,,OBSERVATIONS,behavioral observations and qualitatitve interpretation,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P251,"Rebola, C. B., & Ramirez-Loaiza, S. (2021). Co-designing Technologies for Well Being: A Robot Companion for Older Adults. In Advances in Information and Communication: Proceedings of the 2021 Future of Information and Communication Conference (FICC), Volume 2 (pp. 871-882). Springer International Publishing.","@inproceedings{rebola2021co,
  title={Co-designing Technologies for Well Being: A Robot Companion for Older Adults},
  author={Rebola, Claudia B and Ramirez-Loaiza, Sebastian},
  booktitle={Advances in Information and Communication: Proceedings of the 2021 Future of Information and Communication Conference (FICC), Volume 2},
  pages={871--882},
  year={2021},
  organization={Springer}
}",2021,1,University of Cincinnati; ,N.R.,,,QUAL,companionship,multiple targets,N/A,older adult care,HEALTH,N.R.,N.R.,N.R.,N.R.,focus group,research was conducted via a graduate design class,older adults,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,English,USA,North America,,Hasbro Joy for All Pet Robots,N/A,N/A,N/A,N/A,physical,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,0,0,,,INTERVIEWS,"expert interview, focus group, codesign sessions",,N/A,PD,"robotics expert, older adults, caregivers","contextualization, deconstruction, inspiration, ideation, prototyping(?)",N/A,N/A,0,,0,0,Y,
P255,"Whelan, S., Burke, M., Barrett, E., Mannion, A., Kovacic, T., Santorelli, A., ... & Casey, D. (2020). The effects of MARIO, a social robot, on the resilience of people with dementia: A multiple case study. Gerontechnology, 20(1), 1-16.","@article{whelan2020effects,
  title={The effects of MARIO, a social robot, on the resilience of people with dementia: A multiple case study},
  author={Whelan, Sally and Burke, Megan and Barrett, Eva and Mannion, Arlene and Kovacic, Tanja and Santorelli, Adam and Oliveira, Barbara Luz and Gannon, Louise and Shiel, Edel and Casey, Dympna},
  journal={Gerontechnology},
  volume={20},
  number={1},
  pages={1--16},
  year={2020},
  publisher={元智大學老人福祉科技研究中心}
}",2020,1,School of Nursing & Midwifery; School of Political Science and Sociology; Translational Medical Device Lab; St. Brendan’s Community Nursing Unit,MED,,,MULTI (MIXED),resilience for dementia patients,eldercare,"quality of life in Alzheimer's disease, resilience scale, objective measurement of engagement",clinical,HEALTH,CARE-CENTER,12,<=30,"patient w/ dementia (n=10), caregivers (n=6), and relatives (n=7) ",mixed-method,,dementia,N.R.,"PwD 83, caregivers only reported in ranges, relatives only reported in ranges",N.R.,N.R.,N.R.,N.R.,N.R.,English,Ireland,Northern Europe,,MARIO,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,A,N.R.,N.R.,1,0,0,0,,1,0,,,MIXED,"statistical analysis, thematic analysis",,N.R.,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P256,"Ruf, E., Lehmann, S., & Misoch, S. (2021, February). Use of a Socially Assistive Robot to Promote Physical Activity of Older Adults at Home. In Information and Communication Technologies for Ageing Well and e-Health: 6th International Conference, ICT4AWE 2020, Prague, Czech Republic, May 3–5, 2020, Revised Selected Papers (pp. 78-95). Cham: Springer International Publishing.","@inproceedings{ruf2021use,
  title={Use of a Socially Assistive Robot to Promote Physical Activity of Older Adults at Home},
  author={Ruf, Esther and Lehmann, Stephanie and Misoch, Sabina},
  booktitle={Information and Communication Technologies for Ageing Well and e-Health: 6th International Conference, ICT4AWE 2020, Prague, Czech Republic, May 3--5, 2020, Revised Selected Papers},
  pages={78--95},
  year={2021},
  organization={Springer}
}",2021,1,"Institute for Ageing Research, OST Eastern Switzerland University of Applied Sciences; ",MED,,,MULTI (MIXED),physical exercise,physical health,self-efficacy,clinical,HOME,HOME,9,<=10,7,within-subject,robot vs. booklet vs. video comparison,older adults,67–84,74,N.R.,N.R.,N.R.,N.R.,N.R.,German,Switzerland,Western Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,A,N.R.,N.R.,1,0,0,0,,0,0,,,MIXED,"self-report survey, interview",,N.R.,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P259,"Cruz-Sandoval, D., Favela, J., Lopez-Nava, I. H., & Morales, A. (2021). Adoption of wearable devices by persons with dementia: lessons from a non-pharmacological intervention enabled by a social robot. IoT in Healthcare and Ambient Assisted Living, 145-163.","@article{cruz2021adoption,
  title={Adoption of wearable devices by persons with dementia: lessons from a non-pharmacological intervention enabled by a social robot},
  author={Cruz-Sandoval, Dagoberto and Favela, Jesus and Lopez-Nava, Irvin Hussein and Morales, Arturo},
  journal={IoT in Healthcare and Ambient Assisted Living},
  pages={145--163},
  year={2021},
  publisher={Springer}
}",2021,1,"CICESE; ITSON,",N.R.,,,QUAL,cognitive stimulation,cognitive health,behavioral intention and actual use behavior,clinical,HEALTH,CARE-CENTER,14,<=30,10,long-term,single condition,dementia,72-95,82.4,"M4, F6 ",0,6,4,N.R.,Spanish,Mexico,Central America,,Eva,N/A,N/A,N/A,N/A,physical,interacting,A,wearable devices,N.R.,N.R.,N.R.,N.R.,1,0,0,1,,0,0,,,MIXED,"interview, wearable usage data",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P261,"Liao, Y. H., Lin, T. Y., Wu, C. C., & Shih, Y. N. (2021). Can occupational therapy manpower be replaced with social robots in a singing group during COVID-19?. Work, 68(1), 21-26.","@article{liao2021can,
  title={Can occupational therapy manpower be replaced with social robots in a singing group during COVID-19?},
  author={Liao, Yin-Huang and Lin, Tzu-Yuan and Wu, Chia-Chun and Shih, Yi-Nuo},
  journal={Work},
  volume={68},
  number={1},
  pages={21--26},
  year={2021},
  publisher={IOS Press}
}",2021,1,"Department of Psychiatry; College of Medicine; Department of Graduate Institute of Applied Science and Engineering; Department of Occupational Therapy, College of Medicine",MED,ENG,,QUASI-EXPERIMENTAL,Therapeutic factors,other,Therapeutic factors,clinical,THER,CARE-CENTER,8,<=10,14,long-term,,older adults,65-?,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,Chinese,Taiwan,East Asia,,Zenbo,N/A,N/A,N/A,N/A,physical,interacting,N.R.,N/A,N.R.,N.R.,N.R.,N.R.,1,0,0,0,,1,0,,,QUESTIONNAIRES,statistical analysis,,N.R.,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,not enough information on how the robot worked
P262,"Tripathi, U., Chamola, V., Jolfaei, A., & Chintanpalli, A. (2021). Advancing remote healthcare using humanoid and affective systems. IEEE Sensors Journal, 22(18), 17606-17614.","@article{tripathi2021advancing,
  title={Advancing remote healthcare using humanoid and affective systems},
  author={Tripathi, Utkarsh and Chamola, Vinay and Jolfaei, Alireza and Chintanpalli, Ananthakrishna and others},
  journal={IEEE Sensors Journal},
  volume={22},
  number={18},
  pages={17606--17614},
  year={2021},
  publisher={IEEE}
}",2021,1,Department of Electrical and Electronics Engineering; Department of Computing; ,ENG,CS,,SYSTEM,unclear,N.R.,N/A,clinical,HEALTH,N.R.,N/A,N/A,N/A,N/A,,general,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,no participant - system paper,NAO,N/A,N/A,N/A,N/A,physical,interacting,SA,"Kinect, brain-computer interface",N/A,N/A,arousal and valence classification based on EEG,A,1,0,0,1,,0,0,,,MIXED,"self-report, EEG, pose data via Kinect",,DEEP LEARNING,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P263,"Laban, G., George, J. N., Morrison, V., & Cross, E. S. (2020). Tell me more! Assessing interactions with social robots from speech. Paladyn, Journal of Behavioral Robotics, 12(1), 136-159.","@article{laban2020tell,
  title={Tell me more! Assessing interactions with social robots from speech},
  author={Laban, Guy and George, Jean-No{\""e}l and Morrison, Val and Cross, Emily S},
  journal={Paladyn, Journal of Behavioral Robotics},
  volume={12},
  number={1},
  pages={136--159},
  year={2020},
  publisher={De Gruyter}
}",2020,1,Institute of Neuroscience and Psychology; School of Psychology; Department of Cognitive Science,PSY,MED,,QUANT,psychological health,assessment,self-disclosure,general,MENTAL,LAB,1,SINGLE,26,within-subject,,general,17-42,24.42,"10M, F16",0,16,10,BOTH,English,Scotland,Northern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,smart speaker,N.R.,WoZ,N.R.,WoZ,1,0,0,1,,0,0,,,MIXED,"self-report survey, disclosure content, voice acoustics features",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P263,"Laban, G., George, J. N., Morrison, V., & Cross, E. S. (2020). Tell me more! Assessing interactions with social robots from speech. Paladyn, Journal of Behavioral Robotics, 12(1), 136-159.","@article{laban2020tell,
  title={Tell me more! Assessing interactions with social robots from speech},
  author={Laban, Guy and George, Jean-No{\""e}l and Morrison, Val and Cross, Emily S},
  journal={Paladyn, Journal of Behavioral Robotics},
  volume={12},
  number={1},
  pages={136--159},
  year={2020},
  publisher={De Gruyter}
}",2020,2,Institute of Neuroscience and Psychology; School of Psychology; Department of Cognitive Science,PSY,MED,,QUANT,psychological health,assessment,self-disclosure,general,MENTAL,LAB,1,SINGLE,27,within-subject,,general,20-62,28.6,"11M, F16",0,16,11,BOTH,English,Scotland,Northern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,smart speaker,N.R.,WoZ,N.R.,WoZ,1,0,0,1,,0,0,,,MIXED,"self-report survey, disclosure content, voice acoustics features",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P263,"Laban, G., George, J. N., Morrison, V., & Cross, E. S. (2020). Tell me more! Assessing interactions with social robots from speech. Paladyn, Journal of Behavioral Robotics, 12(1), 136-159.","@article{laban2020tell,
  title={Tell me more! Assessing interactions with social robots from speech},
  author={Laban, Guy and George, Jean-No{\""e}l and Morrison, Val and Cross, Emily S},
  journal={Paladyn, Journal of Behavioral Robotics},
  volume={12},
  number={1},
  pages={136--159},
  year={2020},
  publisher={De Gruyter}
}",2020,3,Institute of Neuroscience and Psychology; School of Psychology; Department of Cognitive Science,PSY,MED,,QUANT,psychological health,assessment,self-disclosure,general,MENTAL,LAB,1,SINGLE,65,within-subject,,general,18-43,23.02,"19M, F44? (not sure, based on % of female)",0,44,19,BOTH,English,Scotland,Northern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,smart speaker,N.R.,WoZ,N.R.,WoZ,1,0,0,1,,0,0,,,MIXED,"self-report survey, disclosure content, voice acoustics features",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P265,"Takanokura, M., Kurashima, R., Ohhira, T., Kawahara, Y., & Ogiya, M. (2021). Implementation and user acceptance of social service robot for an elderly care program in a daycare facility. Journal of Ambient Intelligence and Humanized Computing, 1-10.","@article{takanokura2021implementation,
  title={Implementation and user acceptance of social service robot for an elderly care program in a daycare facility},
  author={Takanokura, Masato and Kurashima, Ren and Ohhira, Tsubasa and Kawahara, Yoshihiro and Ogiya, Mitsuharu},
  journal={Journal of Ambient Intelligence and Humanized Computing},
  pages={1--10},
  year={2021},
  publisher={Springer}
}",2021,1,Department of Industrial Engineering and Management; ,ENG,,,MULTI (MIXED),exercise with cognitive tasks and brain training with arithmetic operations,cognitive health,user acceptance of robot,elderly care program,SOCIAL,CARE-CENTER,N.R.,N.R.,~15,mixed-method,,older adults,"older adults: 50-99 (unclear, participants reported in ranges of 10's)
healthcare workers: N.R.",N.R.,"older adults. N.R.
healthcare workers: 4M for cognitive tasks and 3M3F for brain training task",N.R.,N.R.,N.R.,N.R.,Japanese,Japan,East Asia,older adults and healthcare workers both participated,PEPPER,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,A,N.R.,A,1,0,0,0,,1,0,,,MIXED,survey and interview,,N.R.,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P279,"Henkel, A. P., Čaić, M., Blaurock, M., & Okan, M. (2020). Robotic transformative service research: deploying social robots for consumer well-being during COVID-19 and beyond. Journal of Service Management, 31(6), 1131-1148.","@article{henkel2020robotic,
  title={Robotic transformative service research: deploying social robots for consumer well-being during COVID-19 and beyond},
  author={Henkel, Alexander P and {\v{C}}ai{\'c}, Martina and Blaurock, Marah and Okan, Mehmet},
  journal={Journal of Service Management},
  volume={31},
  number={6},
  pages={1131--1148},
  year={2020},
  publisher={Emerald Publishing Limited}
}",2020,0,"Department of Organization and Center for Actionable Research of the Open University (CAROU),; Department of Design and Architecture; Centre for Relationship Marketing and Service Management, Hanken School of Economics; Service Research Center; Department of Marketing and Management",DES,BSN,,CONCEPT,well-being,well-being,N/A,general,OTHER,N/A,N/A,N/A,N/A,N/A,,general,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,1,,0,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,1,,N/A,N/A,Y,ethical considerations listed in Table 1
P283,"Casey, D., Barrett, E., Kovacic, T., Sancarlo, D., Ricciardi, F., Murphy, K., ... & Whelan, S. (2020). The perceptions of people with dementia and key stakeholders regarding the use and impact of the social robot MARIO. International journal of environmental research and public health, 17(22), 8621.","@article{casey2020perceptions,
  title={The perceptions of people with dementia and key stakeholders regarding the use and impact of the social robot MARIO},
  author={Casey, Dympna and Barrett, Eva and Kovacic, Tanja and Sancarlo, Daniele and Ricciardi, Francesco and Murphy, Kathy and Koumpis, Adamantios and Santorelli, Adam and Gallagher, Niamh and Whelan, Sally},
  journal={International journal of environmental research and public health},
  volume={17},
  number={22},
  pages={8621},
  year={2020},
  publisher={MDPI}
}",2020,1,"School of Nursing and Midwifery, Aras Moyola, NUI, Galway, Ireland.
College of Engineering and Science, Alice Perry Building, NUI, Galway, Ireland.
UNESCO Child and Family Research Centre, School of Political Science and Sociology, NUI, Galway, Ireland.
Sistemi Informativi, Innovazione e Ricerca, IRCCS Casa Sollievo della Sofferenza. Viale Cappuccini, 1 71013 San Giovanni Rotondo FG, Italy.
Institut Digital Enabling, Berner Fachhochschule, CH-3012 Bern, Switzerland.
Faculty of Engineering, Macdonald Engineering Building, 817 Sherbrooke Street West, Room 382 Montreal, Montreal, QC H3A 0C3, Canada.",MED,ENG,,QUAL,well-being (loneliness reduction),well-being,N/A,"elderly, loneliness",SOCIAL,CARE-CENTER,N.R.,N.R.,107,N/A,,mixed-elderly,>60,N.R.,"(M12, F8), (M5, F3), (N.R.)",0,"8, 3, N.R.","12, 5, N.R.",SEX,"italian, english, english","Italy, UK, Ireland",Multi-national,"dementia, neurotypical",MARIO,N/A,N/A,N/A,N/A,physical,interacting,SA,tablet on the chest of the robot,N/A,N/A,N/A,N/A,0,1,0,0,,1,N/A,,N/A,INTERVIEWS,,,N/A,user-centred,"elderly with dementia, relatives, carers, managers",focus groups,N/A,N/A,0,,0,1,Y,
P288,"Zhang, B. J., Quick, R., Helmi, A., & Fitter, N. T. (2020, October). Socially assistive robots at work: Making break-taking interventions more pleasant, enjoyable, and engaging. In 2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) (pp. 11292-11299). IEEE.","@inproceedings{zhang2020socially,
  title={Socially assistive robots at work: Making break-taking interventions more pleasant, enjoyable, and engaging},
  author={Zhang, Brian J and Quick, Ryan and Helmi, Ameer and Fitter, Naomi T},
  booktitle={2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  pages={11292--11299},
  year={2020},
  organization={IEEE}
}",2020,1,"Collaborative Robotics and Intelligent Systems (CoRIS) Institute,
Oregon State University, Corvallis, OR 97331, USA",CS,,,MULTI (MIXED),well-being,well-being,N/A,sedentariety,SOCIAL,WORKPLACE,1,SINGLE,19,within-subject,,neurotypical,"19,30",24.5,"M13, F6",0,6,13,SEX,english,US,North America,,COZMO,N/A,N/A,N/A,N/A,N/A,N/A,WoZ,buzzer,N.R.,WoZ,N.A.,N/A,1,1,0,0,1,0,0,single session study,0,MIXED,,"surveys, interviews, behavioral data (from recordings)",N/A,N/A,N/A,N/A,N/A,N/A,0,"unfortunately the behavior of the Cozmo robot are not described in the paper, so it is not fully clear if it was equipped with affective capabilities",0,1,Y,
